Country,Year,Month,Combined Info
ainablA,2018,April,931.38 USD for 48.25M visitors
albania,2018,May,412.21 USD for 74.1M visitors
ALBANIA,2018,June,1031.72 USD for 87.69M visitors
ALBANIA,2018,July,473.49 USD for 19.76M visitors
albania,2018,August,1331.21 USD for 28.43M visitors
ALBANIA,2018,September,530.97 USD for 33.63M visitors
Albania,2018,October,979.86 USD for 35.83M visitors
albania,2018,November,587.0 USD for 49.16M visitors
Albania,2018,December,1430.35 USD for 48.32M visitors
Alb,2019,January,699.09 USD for 30.92M visitors
albania,2019,February,302.63 USD for 40.46M visitors
Albania,2019,March,490.16 USD for 6.92M visitors
ALBANIA,2019,April,612.07 USD for 68.95M visitors
Alb,2019,May,1434.47 USD for 79.98M visitors
albania,2019,June,1404.0 USD for 23.66M visitors
ALBANIA,2019,July,293.31 USD for 24.64M visitors
ainablA,2019,August,227.75 USD for 34.4M visitors
albania,2019,September,1003.81 USD for 37.99M visitors
Alb,2019,October,244.76 USD for 13.36M visitors
ALBANIA,2019,November,1330.37 USD for 18.5M visitors
ALBANIA,2019,December,210.85 USD for 20.81M visitors
albania,2020,January,509.6 USD for 46.35M visitors
ALBANIA,2020,February,1131.23 USD for 13.93M visitors
ALBANIA,2020,March,791.28 USD for 89.38M visitors
Alb,2020,April,293.69 USD for 80.57M visitors
ainablA,2020,May,876.76 USD for 44.53M visitors
ALBANIA,2020,June,578.52 USD for 29.04M visitors
ALBANIA,2020,July,513.76 USD for 65.23M visitors
ainablA,2020,August,683.8 USD for 44.8M visitors
Albania,2020,September,452.62 USD for 3.26M visitors
Alb,2020,October,1394.99 USD for 22.56M visitors
Alb,2020,November,944.4 USD for 62.63M visitors
ainablA,2020,December,1113.04 USD for 10.42M visitors
Albania,2021,January,430.23 USD for 17.79M visitors
ainablA,2021,February,1162.39 USD for 33.75M visitors
Alb,2021,March,955.02 USD for 67.87M visitors
Alb,2021,April,1449.22 USD for 48.11M visitors
ainablA,2021,May,482.86 USD for 59.38M visitors
Alb,2021,June,781.3 USD for 54.63M visitors
ALBANIA,2021,July,538.28 USD for 60.25M visitors
ALBANIA,2021,August,557.24 USD for 6.11M visitors
ALBANIA,2021,September,317.37 USD for 29.64M visitors
albania,2021,October,347.72 USD for 37.85M visitors
Alb,2021,November,1241.09 USD for 65.58M visitors
albania,2021,December,239.59 USD for 84.18M visitors
ALBANIA,2022,January,1042.98 USD for 85.66M visitors
albania,2022,February,770.1 USD for 29.96M visitors
ainablA,2022,March,1188.27 USD for 24.88M visitors
Alb,2022,April,284.13 USD for 32.73M visitors
Albania,2022,May,1134.21 USD for 15.74M visitors
Albania,2022,June,1275.68 USD for 15.64M visitors
ALBANIA,2022,July,1141.49 USD for 69.85M visitors
ainablA,2022,August,718.2 USD for 88.4M visitors
ainablA,2022,September,217.36 USD for 81.48M visitors
Albania,2022,October,249.01 USD for 83.08M visitors
Alb,2022,November,858.84 USD for 73.81M visitors
Albania,2022,December,212.47 USD for 5.34M visitors
Alb,2023,January,1030.11 USD for 6.33M visitors
Alb,2023,February,1100.21 USD for 83.2M visitors
Alb,2023,March,238.19 USD for 56.68M visitors
ainablA,2023,April,1455.02 USD for 73.61M visitors
ALBANIA,2023,May,735.54 USD for 50.39M visitors
Albania,2023,June,1183.27 USD for 38.95M visitors
Alb,2023,July,908.78 USD for 75.65M visitors
ALBANIA,2023,August,1196.57 USD for 79.64M visitors
albania,2023,September,815.24 USD for 76.45M visitors
Albania,2023,October,981.71 USD for 42.89M visitors
albania,2023,November,1433.41 USD for 8.5M visitors
Albania,2023,December,1052.86 USD for 29.72M visitors
algeria,2015,January,1240.41 USD for 79.05M visitors
algeria,2015,February,1220.8 USD for 33.53M visitors
algeria,2015,March,1306.32 USD for 9.7M visitors
algeria,2015,April,604.64 USD for 5.64M visitors
aireglA,2015,May,645.45 USD for 57.04M visitors
ALGERIA,2015,June,444.38 USD for 35.59M visitors
Algeria,2015,July,780.29 USD for 42.65M visitors
ALGERIA,2015,August,1493.65 USD for 58.55M visitors
Algeria,2015,September,772.91 USD for 88.52M visitors
algeria,2015,October,764.71 USD for 36.26M visitors
aireglA,2015,November,444.41 USD for 45.01M visitors
Algeria,2015,December,1116.03 USD for 69.5M visitors
Algeria,2016,January,404.87 USD for 13.04M visitors
aireglA,2016,February,1225.01 USD for 55.83M visitors
ALGERIA,2016,March,767.06 USD for 55.58M visitors
Algeria,2016,April,1239.06 USD for 27.77M visitors
Alg,2016,May,1286.9 USD for 44.71M visitors
algeria,2016,June,1050.08 USD for 17.51M visitors
Algeria,2016,July,742.82 USD for 78.18M visitors
ALGERIA,2016,August,1255.49 USD for 47.09M visitors
algeria,2016,September,956.41 USD for 63.97M visitors
Algeria,2016,October,1021.13 USD for 43.12M visitors
aireglA,2016,November,503.37 USD for 83.66M visitors
Alg,2016,December,684.58 USD for 66.97M visitors
algeria,2017,January,1037.23 USD for 31.41M visitors
ALGERIA,2017,February,675.76 USD for 65.6M visitors
ALGERIA,2017,March,337.75 USD for 47.45M visitors
algeria,2017,April,958.69 USD for 15.31M visitors
Algeria,2017,May,303.99 USD for 57.16M visitors
Algeria,2017,June,1011.52 USD for 76.04M visitors
ALGERIA,2017,July,1271.53 USD for 62.46M visitors
Algeria,2017,August,1206.39 USD for 43.62M visitors
ALGERIA,2017,September,486.3 USD for 48.6M visitors
Algeria,2017,October,358.46 USD for 16.55M visitors
ALGERIA,2017,November,761.52 USD for 59.65M visitors
Alg,2017,December,1452.94 USD for 69.23M visitors
ALGERIA,2018,January,1336.49 USD for 4.88M visitors
Alg,2018,February,1328.52 USD for 81.49M visitors
algeria,2018,March,1274.22 USD for 82.39M visitors
ALGERIA,2018,April,985.73 USD for 82.56M visitors
aireglA,2018,May,1258.95 USD for 46.34M visitors
algeria,2018,June,1277.19 USD for 43.33M visitors
Alg,2018,July,1076.3 USD for 87.1M visitors
Algeria,2018,August,671.39 USD for 69.82M visitors
algeria,2018,September,1255.82 USD for 19.36M visitors
ALGERIA,2018,October,671.84 USD for 64.72M visitors
Alg,2018,November,1369.41 USD for 14.15M visitors
ALGERIA,2018,December,967.27 USD for 34.16M visitors
algeria,2019,January,1457.96 USD for 76.5M visitors
aireglA,2019,February,1045.82 USD for 45.0M visitors
algeria,2019,March,909.47 USD for 70.33M visitors
Algeria,2019,April,1293.54 USD for 68.53M visitors
algeria,2019,May,325.9 USD for 63.46M visitors
algeria,2019,June,304.77 USD for 22.51M visitors
aireglA,2019,July,379.48 USD for 1.93M visitors
Algeria,2019,August,315.93 USD for 28.09M visitors
aireglA,2019,September,469.62 USD for 5.03M visitors
algeria,2019,October,1180.34 USD for 27.39M visitors
Alg,2019,November,555.92 USD for 5.7M visitors
algeria,2019,December,1374.0 USD for 48.81M visitors
aireglA,2020,January,1340.16 USD for 62.95M visitors
algeria,2020,February,1311.5 USD for 59.37M visitors
Alg,2020,March,667.59 USD for 32.35M visitors
algeria,2020,April,215.41 USD for 15.26M visitors
aireglA,2020,May,375.86 USD for 64.56M visitors
ALGERIA,2020,June,1221.71 USD for 87.83M visitors
Alg,2020,July,956.79 USD for 58.49M visitors
aireglA,2020,August,341.58 USD for 32.53M visitors
Alg,2020,September,854.13 USD for 84.41M visitors
aireglA,2020,October,550.92 USD for 14.53M visitors
Algeria,2020,November,1279.53 USD for 80.85M visitors
algeria,2020,December,1375.83 USD for 65.02M visitors
aireglA,2021,January,425.15 USD for 11.22M visitors
aireglA,2021,February,1083.52 USD for 78.51M visitors
Alg,2021,March,1172.2 USD for 52.04M visitors
aireglA,2021,April,489.17 USD for 88.41M visitors
Alg,2021,May,831.2 USD for 82.66M visitors
aireglA,2021,June,878.9 USD for 71.18M visitors
ALGERIA,2021,July,557.81 USD for 35.97M visitors
Alg,2021,August,914.98 USD for 84.5M visitors
ALGERIA,2021,September,1496.43 USD for 43.95M visitors
algeria,2021,October,962.99 USD for 51.19M visitors
Algeria,2021,November,435.64 USD for 57.52M visitors
aireglA,2021,December,1281.93 USD for 7.9M visitors
ALGERIA,2022,January,1362.49 USD for 16.48M visitors
algeria,2022,February,1002.07 USD for 53.45M visitors
aireglA,2022,March,1240.52 USD for 75.7M visitors
ALGERIA,2022,April,293.56 USD for 8.22M visitors
Alg,2022,May,1237.11 USD for 36.69M visitors
ALGERIA,2022,June,1428.33 USD for 16.18M visitors
algeria,2022,July,955.81 USD for 10.86M visitors
ALGERIA,2022,August,1453.55 USD for 25.83M visitors
Alg,2022,September,476.49 USD for 55.47M visitors
Algeria,2022,October,942.44 USD for 28.16M visitors
aireglA,2022,November,982.78 USD for 34.06M visitors
aireglA,2022,December,771.87 USD for 9.47M visitors
Algeria,2023,January,823.3 USD for 41.34M visitors
ALGERIA,2023,February,608.19 USD for 26.89M visitors
ALGERIA,2023,March,984.34 USD for 6.99M visitors
ALGERIA,2023,April,1348.33 USD for 13.28M visitors
aireglA,2023,May,1188.17 USD for 79.59M visitors
ALGERIA,2023,June,851.64 USD for 46.24M visitors
Alg,2023,July,1196.52 USD for 69.68M visitors
Algeria,2023,August,816.56 USD for 72.73M visitors
aireglA,2023,September,1217.19 USD for 61.81M visitors
Alg,2023,October,571.2 USD for 83.88M visitors
Algeria,2023,November,420.24 USD for 40.16M visitors
Alg,2023,December,1399.03 USD for 89.98M visitors
andorra,2015,January,365.77 USD for 27.69M visitors
ANDORRA,2015,February,1389.38 USD for 47.81M visitors
And,2015,March,731.55 USD for 82.85M visitors
And,2015,April,631.95 USD for 8.19M visitors
arrodnA,2015,May,1060.59 USD for 69.06M visitors
arrodnA,2015,June,1372.23 USD for 44.38M visitors
Andorra,2015,July,972.07 USD for 82.35M visitors
Andorra,2015,August,209.8 USD for 56.84M visitors
Andorra,2015,September,595.17 USD for 83.79M visitors
Andorra,2015,October,342.17 USD for 47.69M visitors
arrodnA,2015,November,1103.29 USD for 54.85M visitors
And,2015,December,1194.74 USD for 56.95M visitors
And,2016,January,627.27 USD for 26.22M visitors
And,2016,February,1381.23 USD for 76.67M visitors
And,2016,March,735.39 USD for 88.93M visitors
ANDORRA,2016,April,761.55 USD for 12.03M visitors
And,2016,May,944.96 USD for 15.32M visitors
andorra,2016,June,464.93 USD for 79.64M visitors
Andorra,2016,July,1497.54 USD for 62.75M visitors
Andorra,2016,August,939.08 USD for 77.77M visitors
Andorra,2016,September,1087.58 USD for 82.22M visitors
andorra,2016,October,596.6 USD for 56.04M visitors
ANDORRA,2016,November,375.19 USD for 79.06M visitors
ANDORRA,2016,December,1169.75 USD for 73.31M visitors
And,2017,January,1317.66 USD for 44.42M visitors
Andorra,2017,February,655.93 USD for 71.26M visitors
andorra,2017,March,727.86 USD for 74.26M visitors
andorra,2017,April,863.04 USD for 26.24M visitors
And,2017,May,527.64 USD for 78.64M visitors
And,2017,June,1118.8 USD for 40.09M visitors
arrodnA,2017,July,950.71 USD for 89.2M visitors
andorra,2017,August,1481.9 USD for 34.41M visitors
ANDORRA,2017,September,1153.92 USD for 76.66M visitors
ANDORRA,2017,October,632.38 USD for 74.17M visitors
Andorra,2017,November,1024.41 USD for 59.55M visitors
andorra,2017,December,629.16 USD for 20.72M visitors
arrodnA,2018,January,468.87 USD for 12.44M visitors
Andorra,2018,February,641.65 USD for 84.16M visitors
Andorra,2018,March,971.11 USD for 24.41M visitors
andorra,2018,April,450.95 USD for 2.61M visitors
ANDORRA,2018,May,1264.07 USD for 22.67M visitors
ANDORRA,2018,June,982.43 USD for 72.11M visitors
ANDORRA,2018,July,1127.32 USD for 29.28M visitors
arrodnA,2018,August,600.57 USD for 58.2M visitors
andorra,2018,September,728.12 USD for 35.61M visitors
Andorra,2018,October,758.09 USD for 77.69M visitors
ANDORRA,2018,November,806.11 USD for 38.16M visitors
Andorra,2018,December,217.93 USD for 52.68M visitors
andorra,2019,January,1099.75 USD for 81.41M visitors
And,2019,February,1088.07 USD for 16.9M visitors
Andorra,2019,March,345.01 USD for 36.37M visitors
And,2019,April,511.74 USD for 2.18M visitors
Andorra,2019,May,795.89 USD for 20.41M visitors
Andorra,2019,June,955.81 USD for 62.58M visitors
Andorra,2019,July,285.88 USD for 17.31M visitors
andorra,2019,August,919.25 USD for 5.64M visitors
andorra,2019,September,789.29 USD for 17.53M visitors
ANDORRA,2019,October,582.12 USD for 60.58M visitors
ANDORRA,2019,November,1305.28 USD for 50.94M visitors
Andorra,2019,December,555.04 USD for 45.06M visitors
Andorra,2020,January,1213.88 USD for 81.93M visitors
arrodnA,2020,February,1088.18 USD for 74.67M visitors
andorra,2020,March,228.04 USD for 74.89M visitors
andorra,2020,April,794.99 USD for 52.1M visitors
arrodnA,2020,May,500.11 USD for 71.13M visitors
andorra,2020,June,1000.81 USD for 40.41M visitors
andorra,2020,July,466.89 USD for 59.1M visitors
andorra,2020,August,970.69 USD for 37.68M visitors
ANDORRA,2020,September,1479.14 USD for 79.76M visitors
ANDORRA,2020,October,1402.33 USD for 27.74M visitors
And,2020,November,504.03 USD for 26.41M visitors
arrodnA,2020,December,729.19 USD for 12.41M visitors
And,2021,January,898.33 USD for 30.78M visitors
ANDORRA,2021,February,599.91 USD for 5.67M visitors
And,2021,March,1408.42 USD for 60.14M visitors
andorra,2021,April,803.85 USD for 19.26M visitors
And,2021,May,443.18 USD for 16.11M visitors
And,2021,June,1242.61 USD for 57.62M visitors
And,2021,July,1296.18 USD for 50.08M visitors
ANDORRA,2021,August,1349.65 USD for 82.88M visitors
Andorra,2021,September,506.21 USD for 60.9M visitors
Andorra,2021,October,1095.11 USD for 53.74M visitors
ANDORRA,2021,November,445.24 USD for 12.77M visitors
arrodnA,2021,December,1175.01 USD for 89.22M visitors
Andorra,2022,January,617.71 USD for 45.0M visitors
And,2022,February,292.73 USD for 29.36M visitors
ANDORRA,2022,March,1201.01 USD for 37.14M visitors
Andorra,2022,April,1395.48 USD for 39.13M visitors
andorra,2022,May,1494.96 USD for 36.28M visitors
andorra,2022,June,1070.71 USD for 21.3M visitors
And,2022,July,1383.79 USD for 82.12M visitors
andorra,2022,August,1039.92 USD for 71.11M visitors
And,2022,September,1216.29 USD for 41.41M visitors
Andorra,2022,October,733.28 USD for 29.11M visitors
andorra,2022,November,373.56 USD for 1.64M visitors
andorra,2022,December,253.19 USD for 52.16M visitors
arrodnA,2023,January,410.76 USD for 63.26M visitors
arrodnA,2023,February,1361.22 USD for 75.65M visitors
And,2023,March,1033.58 USD for 2.93M visitors
ANDORRA,2023,April,222.29 USD for 60.13M visitors
arrodnA,2023,May,354.76 USD for 39.08M visitors
And,2023,June,895.65 USD for 46.11M visitors
ANDORRA,2023,July,923.33 USD for 27.54M visitors
Andorra,2023,August,1466.18 USD for 81.45M visitors
Andorra,2023,September,495.55 USD for 26.75M visitors
And,2023,October,1227.57 USD for 64.1M visitors
andorra,2023,November,446.9 USD for 20.8M visitors
ANDORRA,2023,December,1235.88 USD for 73.21M visitors
angola,2015,January,664.82 USD for 57.42M visitors
angola,2015,February,984.65 USD for 78.98M visitors
ANGOLA,2015,March,267.59 USD for 88.85M visitors
alognA,2015,April,1436.36 USD for 34.8M visitors
Angola,2015,May,972.04 USD for 14.26M visitors
Angola,2015,June,971.31 USD for 52.99M visitors
alognA,2015,July,1491.85 USD for 55.32M visitors
Ang,2015,August,1304.08 USD for 2.93M visitors
alognA,2015,September,593.68 USD for 83.82M visitors
Ang,2015,October,1301.26 USD for 29.64M visitors
alognA,2015,November,1065.02 USD for 12.8M visitors
ANGOLA,2015,December,1132.02 USD for 61.39M visitors
Ang,2016,January,1295.88 USD for 15.98M visitors
alognA,2016,February,1383.51 USD for 43.87M visitors
Angola,2016,March,1182.39 USD for 71.64M visitors
ANGOLA,2016,April,549.48 USD for 33.19M visitors
Ang,2016,May,1212.11 USD for 17.5M visitors
angola,2016,June,306.42 USD for 65.09M visitors
Ang,2016,July,1432.96 USD for 28.5M visitors
Ang,2016,August,417.6 USD for 89.79M visitors
Angola,2016,September,974.99 USD for 72.68M visitors
ANGOLA,2016,October,1490.69 USD for 6.03M visitors
Angola,2016,November,618.29 USD for 56.87M visitors
angola,2016,December,650.27 USD for 42.8M visitors
angola,2017,January,659.27 USD for 36.6M visitors
angola,2017,February,1291.58 USD for 7.12M visitors
Ang,2017,March,1285.46 USD for 66.15M visitors
ANGOLA,2017,April,1459.13 USD for 51.66M visitors
Angola,2017,May,1243.21 USD for 43.26M visitors
alognA,2017,June,941.82 USD for 68.63M visitors
ANGOLA,2017,July,650.96 USD for 59.4M visitors
ANGOLA,2017,August,262.5 USD for 44.22M visitors
angola,2017,September,946.51 USD for 67.86M visitors
alognA,2017,October,1215.1 USD for 83.91M visitors
angola,2017,November,963.78 USD for 42.76M visitors
ANGOLA,2017,December,1448.72 USD for 70.53M visitors
alognA,2018,January,1452.46 USD for 46.74M visitors
Angola,2018,February,1264.02 USD for 58.6M visitors
ANGOLA,2018,March,662.16 USD for 67.96M visitors
Angola,2018,April,1481.85 USD for 46.27M visitors
Ang,2018,May,1107.6 USD for 62.88M visitors
angola,2018,June,1298.5 USD for 62.57M visitors
angola,2018,July,595.62 USD for 19.34M visitors
ANGOLA,2018,August,885.48 USD for 40.74M visitors
angola,2018,September,279.05 USD for 52.12M visitors
alognA,2018,October,1369.44 USD for 12.12M visitors
ANGOLA,2018,November,722.48 USD for 86.02M visitors
ANGOLA,2018,December,1495.59 USD for 22.28M visitors
angola,2019,January,326.63 USD for 53.19M visitors
ANGOLA,2019,February,864.45 USD for 83.53M visitors
alognA,2019,March,1370.2 USD for 9.67M visitors
Ang,2019,April,891.21 USD for 40.42M visitors
angola,2019,May,1017.97 USD for 4.45M visitors
Ang,2019,June,372.84 USD for 38.8M visitors
angola,2019,July,510.39 USD for 30.77M visitors
Angola,2019,August,1287.58 USD for 53.08M visitors
alognA,2019,September,1029.67 USD for 61.48M visitors
ANGOLA,2019,October,764.44 USD for 63.7M visitors
angola,2019,November,1366.47 USD for 88.67M visitors
Angola,2019,December,755.94 USD for 28.01M visitors
Angola,2020,January,409.93 USD for 9.97M visitors
Ang,2020,February,1381.77 USD for 64.77M visitors
alognA,2020,March,1368.75 USD for 62.68M visitors
angola,2020,April,844.46 USD for 13.5M visitors
Angola,2020,May,484.2 USD for 54.72M visitors
angola,2020,June,1241.6 USD for 9.14M visitors
alognA,2020,July,1148.86 USD for 38.23M visitors
alognA,2020,August,816.6 USD for 57.43M visitors
alognA,2020,September,586.4 USD for 74.65M visitors
Ang,2020,October,1068.24 USD for 4.58M visitors
Ang,2020,November,1477.09 USD for 36.9M visitors
ANGOLA,2020,December,239.88 USD for 84.11M visitors
angola,2021,January,923.9 USD for 14.1M visitors
ANGOLA,2021,February,1235.19 USD for 49.54M visitors
alognA,2021,March,568.49 USD for 32.75M visitors
alognA,2021,April,410.02 USD for 31.52M visitors
alognA,2021,May,1376.06 USD for 19.07M visitors
Angola,2021,June,983.42 USD for 14.42M visitors
Angola,2021,July,1230.75 USD for 25.53M visitors
ANGOLA,2021,August,672.89 USD for 74.55M visitors
Ang,2021,September,696.73 USD for 74.7M visitors
ANGOLA,2021,October,1278.01 USD for 56.96M visitors
alognA,2021,November,851.64 USD for 6.21M visitors
angola,2021,December,452.14 USD for 77.03M visitors
Ang,2022,January,1168.78 USD for 39.81M visitors
alognA,2022,February,650.2 USD for 17.51M visitors
alognA,2022,March,1222.3 USD for 2.99M visitors
Ang,2022,April,1270.2 USD for 83.29M visitors
alognA,2022,May,1315.17 USD for 29.23M visitors
angola,2022,June,541.33 USD for 51.53M visitors
alognA,2022,July,1356.97 USD for 36.54M visitors
ANGOLA,2022,August,936.57 USD for 19.33M visitors
angola,2022,September,299.02 USD for 67.05M visitors
