Country,Year,Month,AverageTicketPrice,Visitors
BAHAMAS,2018,SEPTEMBER,1329.87,22.82
BAHAMAS,2018,OCTOBER,1409.42,8.2
BAHAMAS,2018,NOVEMBER,1049.6,87.89
BAHAMAS,2018,DECEMBER,294.75,14.4
BAHAMAS,2019,JANUARY,1372.18,52.67
BAHAMAS,2019,FEBRUARY,748.81,28.68
BAHAMAS,2019,MARCH,560.48,49.81
BAHAMAS,2019,APRIL,1131.17,50.66
BAHAMAS,2019,MAY,1226.34,30.37
BAHAMAS,2019,JUNE,798.36,73.71
BAHAMAS,2019,JULY,756.96,33.12
BAHAMAS,2019,AUGUST,1325.4,86.21
BAHAMAS,2019,SEPTEMBER,1337.25,52.01
BAHAMAS,2019,OCTOBER,1356.88,74.9
BAHAMAS,2019,NOVEMBER,417.66,76.94
BAHAMAS,2020,APRIL,825.35,51.53
BAHAMAS,2020,JUNE,882.65,56.5
BAHAMAS,2020,JULY,868.4,32.09
BAHAMAS,2020,AUGUST,1137.33,23.75
BAHAMAS,2020,SEPTEMBER,791.37,41.25
BAHAMAS,2020,OCTOBER,479.29,63.28
BAHAMAS,2020,DECEMBER,1480.37,59.09
BAHAMAS,2021,JANUARY,1349.96,34.39
BAHAMAS,2021,FEBRUARY,1077.45,84.25
BAHAMAS,2021,MARCH,1029.72,23.55
BAHAMAS,2021,APRIL,994.24,8.63
BAHAMAS,2021,JULY,213.73,10.82
BAHAMAS,2021,AUGUST,542.77,69.21
BAHAMAS,2021,SEPTEMBER,1015.67,86.32
BAHAMAS,2021,OCTOBER,1149.05,80.17
BAHAMAS,2021,NOVEMBER,228.67,27.18
BAHAMAS,2021,DECEMBER,1169.19,87.12
BAHAMAS,2022,FEBRUARY,1308.13,45.22
BAHAMAS,2022,MARCH,1183.94,34.51
BAHAMAS,2022,APRIL,1298.65,8.26
BAHAMAS,2022,MAY,295.56,23.01
BAHAMAS,2022,JUNE,334.95,35.28
BAHAMAS,2022,AUGUST,566.75,5.56
BAHAMAS,2022,SEPTEMBER,260.61,9.37
BAHAMAS,2022,OCTOBER,357.19,72.45
BAHAMAS,2022,DECEMBER,1113.5,24.29
BAHAMAS,2023,JANUARY,1128.43,79.63
BAHAMAS,2023,FEBRUARY,834.46,1.62
BAHAMAS,2023,MARCH,608.32,65.67
BAHAMAS,2023,MAY,1488.79,73.74
BAHAMAS,2023,JUNE,1344.68,89.27
BAHAMAS,2023,JULY,1193.36,52.48
BAHAMAS,2023,AUGUST,371.67,53.45
BAHAMAS,2023,SEPTEMBER,682.27,27.01
BAHAMAS,2023,OCTOBER,904.68,35.26
BAHAMAS,2023,NOVEMBER,418.08,45.57
BAHAMAS,2023,DECEMBER,1229.73,12.56
LEBANON,2015,JANUARY,946.25,40.69
LEBANON,2015,APRIL,1338.05,54.88
LEBANON,2015,MAY,431.53,55.13
LEBANON,2015,OCTOBER,1393.63,37.32
LEBANON,2016,SEPTEMBER,1154.79,16.91
LEBANON,2016,DECEMBER,1325.2,5.31
LEBANON,2017,FEBRUARY,633.88,82.84
LEBANON,2017,APRIL,1039.22,80.53
LEBANON,2017,DECEMBER,371.44,46.52
LEBANON,2018,JUNE,903.69,19.5
LEBANON,2018,OCTOBER,976.17,25.7
LEBANON,2019,APRIL,411.17,16.25
LEBANON,2019,JUNE,777.23,72.72
LEBANON,2019,NOVEMBER,1101.01,72.62
LEBANON,2021,FEBRUARY,369.5,78.54
LEBANON,2021,JUNE,336.09,65.64
LEBANON,2021,AUGUST,378.13,52.14
LEBANON,2021,OCTOBER,625.32,24.0
LEBANON,2022,JANUARY,594.72,14.21
LEBANON,2022,FEBRUARY,964.73,31.56
LEBANON,2022,DECEMBER,1095.46,8.82
LEBANON,2023,FEBRUARY,1391.68,56.75
LEBANON,2023,MAY,1221.6,64.07
LEBANON,2023,SEPTEMBER,600.82,6.81
MOROCCO,2015,APRIL,1497.13,4.26
MOROCCO,2015,JUNE,1119.83,58.78
MOROCCO,2015,NOVEMBER,236.1,22.57
MOROCCO,2016,JULY,1248.8,38.81
MOROCCO,2016,SEPTEMBER,252.92,82.4
MOROCCO,2017,JANUARY,975.4,55.72
MOROCCO,2017,FEBRUARY,771.96,67.28
MOROCCO,2017,AUGUST,616.47,66.33
MOROCCO,2017,SEPTEMBER,1300.07,34.8
MOROCCO,2017,NOVEMBER,950.32,47.95
MOROCCO,2018,JUNE,529.54,28.18
MOROCCO,2018,SEPTEMBER,1050.16,11.12
MOROCCO,2019,MAY,838.3,28.64
MOROCCO,2019,OCTOBER,597.84,11.77
MOROCCO,2021,JULY,874.84,5.55
MOROCCO,2021,DECEMBER,1227.84,85.61
MOROCCO,2022,JANUARY,882.84,55.07
MOROCCO,2023,JANUARY,836.56,65.63
MOROCCO,2023,JULY,868.41,42.55
MOROCCO,2023,NOVEMBER,1166.72,47.0
BURUNDI,2015,JUNE,1227.97,10.22
BURUNDI,2016,JULY,784.55,1.82
BURUNDI,2016,OCTOBER,860.81,43.45
BURUNDI,2017,APRIL,915.98,9.01
BURUNDI,2017,NOVEMBER,1327.72,20.43
BURUNDI,2018,MAY,497.16,53.85
BURUNDI,2019,FEBRUARY,358.01,53.02
BURUNDI,2019,APRIL,928.83,59.86
BURUNDI,2019,AUGUST,248.39,24.69
BURUNDI,2019,SEPTEMBER,344.0,69.68
BURUNDI,2020,FEBRUARY,1395.67,18.92
BURUNDI,2020,AUGUST,710.21,88.07
BURUNDI,2021,FEBRUARY,271.61,85.11
BURUNDI,2021,MARCH,903.2,42.6
BURUNDI,2021,JULY,647.22,34.16
BURUNDI,2021,SEPTEMBER,300.22,34.7
BURUNDI,2022,APRIL,707.46,20.09
BURUNDI,2022,JUNE,1199.26,64.01
BURUNDI,2022,JULY,1192.18,3.38
BURUNDI,2023,DECEMBER,449.32,62.88
BURUNDI,2015,FEBRUARY,984.67,24.89
BURUNDI,2015,MARCH,843.03,85.3
BURUNDI,2016,FEBRUARY,1237.11,41.33
BURUNDI,2016,JUNE,532.94,23.45
BURUNDI,2016,JULY,795.94,63.15
BURUNDI,2016,DECEMBER,1279.94,74.75
BURUNDI,2017,APRIL,731.8,32.7
BURUNDI,2017,JUNE,396.37,65.83
BURUNDI,2017,NOVEMBER,466.01,14.5
BURUNDI,2018,MARCH,985.64,72.06
BURUNDI,2018,JUNE,1013.37,24.17
BURUNDI,2018,NOVEMBER,1461.95,67.04
BURUNDI,2019,JUNE,1403.57,73.39
BURUNDI,2020,APRIL,1403.72,80.2
BURUNDI,2020,MAY,776.09,60.04
BURUNDI,2021,MARCH,595.94,8.45
BURUNDI,2021,APRIL,733.72,61.31
BURUNDI,2021,NOVEMBER,1491.11,77.6
BURUNDI,2022,JANUARY,574.24,42.5
BURUNDI,2022,FEBRUARY,1152.62,43.53
BURUNDI,2023,JANUARY,827.01,62.19
BURUNDI,2023,OCTOBER,1096.29,23.21
BURUNDI,2023,DECEMBER,972.43,81.59
JAMAICA,2015,MARCH,461.81,29.98
JAMAICA,2016,JANUARY,537.02,32.02
JAMAICA,2016,AUGUST,436.1,58.63
JAMAICA,2017,APRIL,1450.22,34.27
JAMAICA,2017,MAY,303.35,76.25
JAMAICA,2017,AUGUST,291.19,44.97
JAMAICA,2017,OCTOBER,1271.91,1.62
JAMAICA,2017,NOVEMBER,633.9,58.42
JAMAICA,2018,FEBRUARY,1087.11,16.4
JAMAICA,2018,MAY,308.73,77.71
JAMAICA,2018,JUNE,1393.43,1.96
JAMAICA,2018,AUGUST,422.44,26.04
JAMAICA,2019,DECEMBER,369.57,42.39
JAMAICA,2020,MARCH,1122.73,11.84
JAMAICA,2021,MARCH,577.73,68.48
JAMAICA,2021,APRIL,839.45,39.08
JAMAICA,2021,MAY,965.61,22.19
JAMAICA,2021,AUGUST,884.88,44.5
JAMAICA,2021,OCTOBER,1184.98,14.2
JAMAICA,2022,JUNE,1253.9,30.37
JAMAICA,2023,JUNE,614.15,23.25
EQUATORIAL GUINEA,2015,JANUARY,728.71,68.13
EQUATORIAL GUINEA,2015,MARCH,1081.47,80.34
EQUATORIAL GUINEA,2015,AUGUST,449.16,53.65
EQUATORIAL GUINEA,2015,DECEMBER,253.02,35.01
EQUATORIAL GUINEA,2016,JUNE,228.13,61.07
EQUATORIAL GUINEA,2016,JULY,278.48,10.91
EQUATORIAL GUINEA,2017,APRIL,1415.84,10.86
EQUATORIAL GUINEA,2017,MAY,849.41,9.93
EQUATORIAL GUINEA,2018,OCTOBER,504.92,36.18
EQUATORIAL GUINEA,2019,AUGUST,1401.6,51.4
EQUATORIAL GUINEA,2020,MARCH,812.31,54.87
EQUATORIAL GUINEA,2020,OCTOBER,600.52,24.75
EQUATORIAL GUINEA,2021,JULY,1293.02,4.18
EQUATORIAL GUINEA,2022,APRIL,848.65,12.5
EQUATORIAL GUINEA,2022,JULY,823.45,79.84
EQUATORIAL GUINEA,2022,NOVEMBER,1363.76,5.38
EQUATORIAL GUINEA,2022,DECEMBER,1222.07,55.68
EQUATORIAL GUINEA,2023,FEBRUARY,1156.5,44.06
MICRONESIA,2015,JUNE,875.45,60.01
MICRONESIA,2015,OCTOBER,977.07,40.3
MICRONESIA,2016,FEBRUARY,1319.29,39.78
MICRONESIA,2016,MARCH,425.17,67.48
MICRONESIA,2017,FEBRUARY,1181.47,50.08
MICRONESIA,2017,JULY,795.53,51.97
MICRONESIA,2017,SEPTEMBER,733.18,81.08
MICRONESIA,2019,MAY,249.25,20.49
MICRONESIA,2019,AUGUST,865.3,11.66
MICRONESIA,2020,DECEMBER,211.15,24.05
MICRONESIA,2021,JANUARY,674.46,39.15
MICRONESIA,2021,AUGUST,1390.99,51.5
MICRONESIA,2021,SEPTEMBER,1402.07,10.7
MICRONESIA,2021,NOVEMBER,705.27,50.62
MICRONESIA,2022,FEBRUARY,1099.6,89.28
MICRONESIA,2022,MARCH,582.46,28.43
MICRONESIA,2022,MAY,1483.22,24.25
MICRONESIA,2022,JULY,992.49,28.18
MICRONESIA,2022,AUGUST,1156.7,33.07
MICRONESIA,2022,DECEMBER,906.58,37.17
MICRONESIA,2023,APRIL,854.97,71.51
MICRONESIA,2023,JUNE,245.56,56.72
MICRONESIA,2023,OCTOBER,343.05,19.91
MICRONESIA,2023,NOVEMBER,937.51,11.43
ARMENIA,2015,JULY,1070.36,49.13
ARMENIA,2016,JANUARY,1409.44,43.79
ARMENIA,2016,FEBRUARY,799.2,72.96
ARMENIA,2016,JULY,615.52,47.04
ARMENIA,2016,DECEMBER,1093.5,38.34
ARMENIA,2017,JANUARY,1070.01,20.03
ARMENIA,2017,JUNE,1446.45,24.99
ARMENIA,2018,JULY,236.41,68.51
ARMENIA,2018,OCTOBER,1444.21,15.16
ARMENIA,2019,FEBRUARY,519.88,45.82
ARMENIA,2019,MAY,959.77,72.51
ARMENIA,2019,DECEMBER,1281.38,1.55
ARMENIA,2020,MAY,248.23,70.59
ARMENIA,2020,SEPTEMBER,623.75,67.83
ARMENIA,2022,FEBRUARY,529.19,34.08
ARMENIA,2022,JUNE,777.66,76.72
ARMENIA,2022,NOVEMBER,1493.44,8.56
ARMENIA,2023,SEPTEMBER,1033.8,53.59
ARMENIA,2023,OCTOBER,340.72,58.03
ARMENIA,2023,NOVEMBER,766.56,50.61
CAMBODIA,2015,JANUARY,580.9,65.28
CAMBODIA,2015,MARCH,515.63,66.66
CAMBODIA,2015,APRIL,788.18,68.86
CAMBODIA,2015,MAY,1103.75,48.85
CAMBODIA,2015,JUNE,1416.79,60.22
CAMBODIA,2015,JULY,963.84,51.61
CAMBODIA,2015,AUGUST,536.1,22.74
CAMBODIA,2015,SEPTEMBER,1056.94,31.3
CAMBODIA,2015,OCTOBER,264.1,63.6
CAMBODIA,2015,DECEMBER,249.67,44.6
CAMBODIA,2016,JANUARY,667.4,64.03
CAMBODIA,2016,FEBRUARY,964.56,15.81
CAMBODIA,2016,MARCH,868.81,88.26
CAMBODIA,2016,MAY,1358.73,80.0
CAMBODIA,2016,JUNE,1330.89,3.84
CAMBODIA,2016,AUGUST,974.41,47.51
CAMBODIA,2016,OCTOBER,545.99,40.51
CAMBODIA,2016,NOVEMBER,1293.65,18.39
CAMBODIA,2016,DECEMBER,1499.45,56.3
CAMBODIA,2017,FEBRUARY,1232.33,51.57
CAMBODIA,2017,MAY,364.34,83.13
CAMBODIA,2017,JUNE,1221.55,83.76
CAMBODIA,2017,JULY,665.59,67.89
CAMBODIA,2017,OCTOBER,696.79,11.9
CAMBODIA,2017,NOVEMBER,1044.99,85.95
CAMBODIA,2018,JANUARY,769.68,24.15
CAMBODIA,2018,FEBRUARY,1479.56,49.11
CAMBODIA,2018,MARCH,1315.35,19.25
CAMBODIA,2018,MAY,1134.26,7.87
CAMBODIA,2018,JULY,1299.89,87.59
CAMBODIA,2018,OCTOBER,1231.83,8.64
CAMBODIA,2018,NOVEMBER,216.1,79.59
CAMBODIA,2018,DECEMBER,722.72,25.09
CAMBODIA,2019,JANUARY,226.82,58.52
CAMBODIA,2019,FEBRUARY,271.16,27.04
CAMBODIA,2019,MARCH,1313.91,2.7
CAMBODIA,2019,APRIL,1189.14,81.77
CAMBODIA,2019,MAY,1144.17,68.07
CAMBODIA,2019,JUNE,1081.52,74.2
CAMBODIA,2019,JULY,1212.44,12.54
CAMBODIA,2019,AUGUST,1438.01,38.76
CAMBODIA,2019,OCTOBER,294.37,16.36
CAMBODIA,2019,NOVEMBER,704.34,19.13
CAMBODIA,2020,JANUARY,1263.93,23.96
CAMBODIA,2020,MARCH,232.35,60.95
CAMBODIA,2020,APRIL,629.86,45.28
CAMBODIA,2020,MAY,428.9,4.96
CAMBODIA,2020,JUNE,1467.11,63.24
CAMBODIA,2020,JULY,1266.24,65.48
CAMBODIA,2020,AUGUST,1297.73,57.66
CAMBODIA,2020,OCTOBER,1153.29,32.74
CAMBODIA,2020,NOVEMBER,730.68,14.86
CAMBODIA,2020,DECEMBER,1205.38,87.18
CAMBODIA,2021,JANUARY,806.77,80.27
CAMBODIA,2021,FEBRUARY,649.06,57.97
CAMBODIA,2021,MARCH,203.7,15.7
CAMBODIA,2021,APRIL,358.18,70.88
CAMBODIA,2021,MAY,715.14,64.55
CAMBODIA,2021,JULY,874.21,3.88
CAMBODIA,2021,AUGUST,454.54,15.88
CAMBODIA,2021,OCTOBER,331.58,33.11
CAMBODIA,2021,NOVEMBER,830.86,22.98
CAMBODIA,2021,DECEMBER,518.85,57.51
CAMBODIA,2022,JANUARY,1218.94,84.07
CAMBODIA,2022,MARCH,545.12,36.0
CAMBODIA,2022,APRIL,1089.9,82.44
CAMBODIA,2022,MAY,288.73,6.09
CAMBODIA,2022,JUNE,656.36,10.9
CAMBODIA,2022,JULY,516.18,62.6
CAMBODIA,2022,AUGUST,1278.25,74.17
CAMBODIA,2022,OCTOBER,924.15,28.89
CAMBODIA,2022,DECEMBER,894.91,27.74
CAMBODIA,2023,JANUARY,1052.06,80.94
CAMBODIA,2023,MARCH,266.34,7.82
CAMBODIA,2023,APRIL,468.02,3.27
CAMBODIA,2023,MAY,1121.23,9.4
CAMBODIA,2023,JUNE,772.35,15.19
CAMBODIA,2023,AUGUST,397.66,16.29
CAMBODIA,2023,SEPTEMBER,690.03,33.85
CAMBODIA,2023,OCTOBER,1064.04,69.82
CAMBODIA,2023,NOVEMBER,1248.56,85.91
CAMBODIA,2023,DECEMBER,916.0,88.99
BANGLADESH,2015,JANUARY,1112.49,81.21
BANGLADESH,2015,FEBRUARY,710.86,85.79
BANGLADESH,2015,MARCH,1311.71,18.9
BANGLADESH,2015,MAY,936.83,21.26
BANGLADESH,2015,JUNE,428.06,82.48
BANGLADESH,2015,SEPTEMBER,1352.11,47.71
BANGLADESH,2015,NOVEMBER,1094.76,75.64
BANGLADESH,2015,DECEMBER,925.09,12.0
BANGLADESH,2016,JANUARY,1141.88,64.77
BANGLADESH,2016,FEBRUARY,1491.56,77.67
BANGLADESH,2016,MARCH,316.11,71.71
BANGLADESH,2016,APRIL,1221.93,26.7
BANGLADESH,2016,MAY,1292.8,69.87
BANGLADESH,2016,JUNE,1319.82,12.42
BANGLADESH,2016,JULY,880.56,66.89
BANGLADESH,2016,AUGUST,932.18,47.31
BANGLADESH,2016,SEPTEMBER,555.04,87.11
BANGLADESH,2016,OCTOBER,1237.52,38.16
BANGLADESH,2016,NOVEMBER,414.48,17.06
BANGLADESH,2016,DECEMBER,465.27,75.94
BANGLADESH,2017,JANUARY,1195.84,66.75
BANGLADESH,2017,FEBRUARY,754.94,9.61
BANGLADESH,2017,MARCH,1292.33,21.83
BANGLADESH,2017,APRIL,525.65,85.18
BANGLADESH,2017,AUGUST,1412.2,63.03
BANGLADESH,2017,OCTOBER,1428.45,22.15
BANGLADESH,2017,NOVEMBER,1066.81,37.73
BANGLADESH,2018,JANUARY,1041.89,27.18
BANGLADESH,2018,MARCH,1222.63,51.85
BANGLADESH,2018,APRIL,1064.37,63.95
BANGLADESH,2018,JUNE,463.63,8.58
BANGLADESH,2018,JULY,1399.53,2.73
BANGLADESH,2018,AUGUST,575.24,68.41
BANGLADESH,2018,SEPTEMBER,598.49,76.4
BANGLADESH,2018,OCTOBER,1481.09,37.22
BANGLADESH,2018,NOVEMBER,954.12,27.25
BANGLADESH,2018,DECEMBER,230.03,87.43
BANGLADESH,2019,JANUARY,1330.27,35.89
BANGLADESH,2019,FEBRUARY,1428.83,6.56
BANGLADESH,2019,MARCH,384.98,36.59
BANGLADESH,2019,APRIL,1293.57,51.97
BANGLADESH,2019,MAY,1184.72,24.1
BANGLADESH,2019,JUNE,1428.73,28.7
BANGLADESH,2019,JULY,431.39,15.73
BANGLADESH,2019,AUGUST,272.5,12.14
BANGLADESH,2019,SEPTEMBER,915.91,7.56
BANGLADESH,2019,OCTOBER,301.98,57.92
BANGLADESH,2019,NOVEMBER,879.48,48.74
BANGLADESH,2019,DECEMBER,765.09,62.58
BANGLADESH,2020,JANUARY,274.72,79.57
BANGLADESH,2020,FEBRUARY,963.08,76.1
BANGLADESH,2020,APRIL,860.48,28.07
BANGLADESH,2020,MAY,356.24,88.24
BANGLADESH,2020,JUNE,1223.78,13.01
BANGLADESH,2020,JULY,800.32,71.35
BANGLADESH,2020,AUGUST,1301.36,74.08
BANGLADESH,2020,NOVEMBER,991.02,14.6
BANGLADESH,2020,DECEMBER,308.32,34.21
BANGLADESH,2021,JANUARY,600.68,56.83
BANGLADESH,2021,FEBRUARY,1045.26,40.4
BANGLADESH,2021,MARCH,611.48,47.69
BANGLADESH,2021,APRIL,715.04,25.9
BANGLADESH,2021,MAY,884.62,67.66
BANGLADESH,2021,JUNE,1080.93,24.14
BANGLADESH,2021,JULY,828.7,64.96
BANGLADESH,2021,NOVEMBER,1238.97,12.39
BANGLADESH,2021,DECEMBER,1236.45,35.97
BANGLADESH,2022,JANUARY,272.83,25.62
BANGLADESH,2022,FEBRUARY,263.58,48.77
BANGLADESH,2022,MARCH,1454.53,29.59
BANGLADESH,2022,APRIL,740.3,7.0
BANGLADESH,2022,JUNE,1069.62,17.63
BANGLADESH,2022,JULY,553.12,48.09
BANGLADESH,2022,AUGUST,328.24,9.86
BANGLADESH,2022,SEPTEMBER,297.83,2.19
BANGLADESH,2022,OCTOBER,367.37,71.7
BANGLADESH,2022,NOVEMBER,1328.1,67.5
BANGLADESH,2023,JANUARY,413.01,69.27
BANGLADESH,2023,MARCH,422.32,88.12
BANGLADESH,2023,APRIL,467.07,34.04
BANGLADESH,2023,MAY,503.03,77.22
BANGLADESH,2023,JULY,999.98,11.35
BANGLADESH,2023,AUGUST,395.53,74.49
BANGLADESH,2023,OCTOBER,544.26,81.99
BANGLADESH,2023,DECEMBER,1132.49,85.02
MOZAMBIQUE,2015,FEBRUARY,634.95,58.57
MOZAMBIQUE,2015,MARCH,309.09,89.8
MOZAMBIQUE,2015,JUNE,668.64,17.91
MOZAMBIQUE,2015,AUGUST,1185.65,53.51
MOZAMBIQUE,2015,SEPTEMBER,1076.18,14.84
MOZAMBIQUE,2015,OCTOBER,454.65,5.53
MOZAMBIQUE,2016,MAY,1259.3,37.64
MOZAMBIQUE,2016,JUNE,1167.34,15.34
MOZAMBIQUE,2016,NOVEMBER,807.78,63.59
MOZAMBIQUE,2019,MARCH,594.94,28.64
MOZAMBIQUE,2020,FEBRUARY,1300.66,74.35
MOZAMBIQUE,2020,JULY,867.57,58.75
MOZAMBIQUE,2020,OCTOBER,968.0,73.74
MOZAMBIQUE,2021,JUNE,1307.3,52.11
MOZAMBIQUE,2023,OCTOBER,1159.2,81.78
TIMOR-LESTE,2015,JANUARY,1438.59,32.52
TIMOR-LESTE,2015,FEBRUARY,1362.72,43.79
TIMOR-LESTE,2015,MARCH,841.15,82.51
TIMOR-LESTE,2015,APRIL,1174.39,6.11
TIMOR-LESTE,2015,JUNE,319.59,57.34
TIMOR-LESTE,2015,JULY,618.2,77.39
TIMOR-LESTE,2015,AUGUST,862.68,36.55
TIMOR-LESTE,2015,SEPTEMBER,570.29,20.39
TIMOR-LESTE,2015,OCTOBER,1080.35,54.0
TIMOR-LESTE,2015,NOVEMBER,1353.98,53.06
TIMOR-LESTE,2016,JANUARY,1157.28,53.95
TIMOR-LESTE,2016,FEBRUARY,1404.09,86.83
TIMOR-LESTE,2016,MARCH,1278.24,42.82
TIMOR-LESTE,2016,APRIL,786.68,44.72
TIMOR-LESTE,2016,MAY,822.57,34.49
TIMOR-LESTE,2016,JUNE,1464.69,47.3
TIMOR-LESTE,2016,JULY,763.94,22.12
TIMOR-LESTE,2016,AUGUST,609.35,71.65
TIMOR-LESTE,2016,SEPTEMBER,723.04,74.37
